title,company,location,category,job_type,deadline,salary,url
Purchaser,ALSALT Hospitality,Erbil,Operations/Production,Full time,2026-04-20,Not disclosed,https://jobs.krd/explore-jobs/Purchaser-3007
Digital Marketing,Blnd Ads,Erbil,Marketing,Full time,2026-04-20,Not disclosed,https://jobs.krd/explore-jobs/blnd-ads-3006
Graphic Designer,Poleks - Keep,Erbil,Marketing,Full time,2026-04-24,"{'id': 1, 'name': 'IQD'} 1200000.00–1400000.00 / Monthly",https://jobs.krd/explore-jobs/Graphic-Designer-3004
Primary Grade Teacher,JOBS.KRD Client 13,Erbil,Education,Full time,2026-04-19,"{'id': 1, 'name': 'IQD'} 400000.00–1500000.00 / Monthly",https://jobs.krd/explore-jobs/Teaching-2999
Showroom Salesperson,Arizanti Company,Erbil,Sales,Full time,2026-04-19,Not disclosed,https://jobs.krd/explore-jobs/Showroom-Salesperson-3002
Customer Service Associate,Youth Hub,Erbil,Customer Service/Support,Full time,2026-04-19,Not disclosed,https://jobs.krd/explore-jobs/Customer-Service-Associate-3003
Sales Representative,VATREN,Erbil,Sales,Full time,2026-04-19,Not disclosed,https://jobs.krd/explore-jobs/Sales-Representative-3001
Interior Designer,VATREN,Erbil,Engineering Interior Design,Full time,2026-04-19,Not disclosed,https://jobs.krd/explore-jobs/Interior-Designer-3000
Sales Representative (Furniture Showroom),Fya Home,Erbil,Sales,Full time,2026-04-19,Not disclosed,https://jobs.krd/explore-jobs/Sales-Representative-(Furniture-Showroom)-2998
Senior Sales Representative,Arizanti Company,Erbil,Sales,Full time,2026-04-19,Not disclosed,https://jobs.krd/explore-jobs/Senior-Sales-Representative-2997
Senior Accountant,Bahar Holding,Erbil,Finance,Full time,2026-04-19,Not disclosed,https://jobs.krd/explore-jobs/Senior-Accountant-2996
Print Production & Sourcing Specialist,Shahan Company,Duhok,Operations/Production,Full time,2026-04-16,Not disclosed,https://jobs.krd/explore-jobs/Print-Production-&-Sourcing-Specialist-2995
Graphic Designer,Shahan Company,Duhok,Marketing,Full time,2026-04-16,Not disclosed,https://jobs.krd/explore-jobs/Graphic-Designer-2994
Sales Representative (Dentistry Background),Crown Dent,Erbil,Sales,Full time,2026-04-15,Not disclosed,https://jobs.krd/explore-jobs/Sales-Representative-2993
Accounts Officer,NRCO General Trading,Erbil,Finance,Full time,2026-04-14,Not disclosed,https://jobs.krd/explore-jobs/Accounts-Officer-2992
Interior Designer,JOBS.KRD Client 34,Duhok,Engineering,Full time,2026-04-14,Not disclosed,https://jobs.krd/explore-jobs/Interior-Designer-2991
Electrical Engineer,LAD Company,Sulaymaniyah,Engineering,Full time,2026-04-14,Not disclosed,https://jobs.krd/explore-jobs/Electrical-Engineer-2990
Interior Designer,Ekhlas Company,Erbil,Unknown,Full time,2026-04-12,Not disclosed,https://jobs.krd/explore-jobs/Interior-Designer-2988
Mobile Application Developer,Easy Technology,Duhok,Information Technology (IT),Full time,2026-04-12,Not disclosed,https://jobs.krd/explore-jobs/Mobile-Application-Developer-2989
Call Center Agent,Easy Technology,Duhok,Customer Service/Support,Full time,2026-04-12,Not disclosed,https://jobs.krd/explore-jobs/Call-Center-Agent-2987
Graphic Designer,BGT Company,Erbil,Unknown,Full time,2026-05-02,Not disclosed,https://jobs.krd/explore-jobs/graphic-designer-2986
Writer,Tara Stationary,Duhok,Education,Full time,2026-04-09,Not disclosed,https://jobs.krd/explore-jobs/Writer-2985
Community Manager,Damazrandn,Erbil,Customer Service/Support,Full time,2026-04-09,2000000.00–2300000.00 / Monthly,https://jobs.krd/explore-jobs/Community-Manager-2984
Content Creator (Video & Photography),Digital Content Creators,Erbil,Marketing,Full time,2026-04-09,Not disclosed,https://jobs.krd/explore-jobs/Videographer-/-Photographer-/-Editor-2983
Social Media Face Model (Female),Family Mall Erbil,Erbil,Marketing,Part time,2026-04-09,Not disclosed,https://jobs.krd/explore-jobs/Social-Media-Face-Model-2982
Electrical Technician,JOBS.KRD Client 33,Sulaymaniyah,Operations/Production,Full time,2026-04-08,Not disclosed,https://jobs.krd/explore-jobs/Electrical-Technician-2981
Team Building Trainer (Consultancy),Sparda Organization,Sulaymaniyah,Training and Development,Contract,2026-04-08,Not disclosed,https://jobs.krd/explore-jobs/Team-Building-Trainer-(Consultancy)-2980
Sales Specialist,Advira Advertising Agency,Erbil,Sales,Full time,2026-04-08,Not disclosed,https://jobs.krd/explore-jobs/Sales-Specialist-2977
Graphic Designer,Advira Advertising Agency,Erbil,Marketing,Full time,2026-04-08,Not disclosed,https://jobs.krd/explore-jobs/Graphic-Designer-2978
Content Creator & Social Media Manager,Abi Academy,Duhok,Marketing,Full time,2026-04-08,Not disclosed,https://jobs.krd/explore-jobs/Social-Media-Admin-2979
Brand Face,NS Marketing Company,Duhok,Marketing,Full time,2026-04-07,Not disclosed,https://jobs.krd/explore-jobs/Face-Model-2974
Accountant,MY LIMITED,Erbil,Finance,Part time,2026-04-12,Not disclosed,https://jobs.krd/explore-jobs/Accountant-2966
Graphic Designer,NS Marketing Company,Duhok,Marketing,Full time,2026-04-07,Not disclosed,https://jobs.krd/explore-jobs/Graphic-Designer-2973
Social Media & Content Coordinator,MY LIMITED,Erbil,Marketing,Full time,2026-04-12,Not disclosed,https://jobs.krd/explore-jobs/Social-Media-&-Content-Coordinator-2976
Marketing Coordinator,10 Problem 10 Solutions,Erbil,Marketing,Full time,2026-04-05,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Coordinator-2975
Accountant,Ashish Pack,Duhok,Finance,Full time,2026-04-06,Not disclosed,https://jobs.krd/explore-jobs/Accountant-2963
Sales Account Executive,Getty Tech,Erbil,Sales,Full time,2026-04-06,Not disclosed,https://jobs.krd/explore-jobs/Sales-Account-Executive-2972
Receptionist,Narin Beauty Center,Duhok,Customer Service/Support,Full time,2026-04-11,Not disclosed,https://jobs.krd/explore-jobs/Receptionist-2971
Freelance Videographer,BiKurdini,Duhok,Marketing,Part time,2026-04-08,Not disclosed,https://jobs.krd/explore-jobs/Freelance-Videographer-2957
Sales & Account Manager,Wade Company,Sulaymaniyah,Sales,Full time,2026-04-05,Not disclosed,https://jobs.krd/explore-jobs/Sales-&-Account-Manager-2967
Senior Marketing Manager,Wade Company,Erbil,Marketing,Full time,2026-04-05,Not disclosed,https://jobs.krd/explore-jobs/Senior-Marketing-Manager-2968
Chef Assistant,Fama Cafe,Duhok,Operations/Production,Full time,2026-04-05,Not disclosed,https://jobs.krd/explore-jobs/Chef-Assistant-2970
Sales Coordinator,Al Usool General Trading Co. Ltd. (AUGT),Erbil,Sales,Full time,2026-04-06,Not disclosed,https://jobs.krd/explore-jobs/Sales-Coordinator-2964
Architecture Engineer,Zhinova,Erbil,Engineering,Full time,2026-04-05,Not disclosed,https://jobs.krd/explore-jobs/Architecture-Engineer-2965
HR officer,BGT Company,Erbil,Human Resources,Full time,2026-04-09,Not disclosed,https://jobs.krd/explore-jobs/HR-officer-2962
Flutter Developer,Wade Company,Erbil,Information Technology (IT),Full time,2026-04-05,Not disclosed,https://jobs.krd/explore-jobs/Flutter-Developer-2960
Managing Director,JOBS.KRD Careers,Erbil,Human Resources,Full time,2026-04-02,Not disclosed,https://jobs.krd/explore-jobs/Managing-Director-2961
Costumer Service,ND Phone,Duhok,Unknown,Part time,2026-04-01,Not disclosed,https://jobs.krd/explore-jobs/Costumer-Service-2959
Smartphone Software Technician,ND Phone,Duhok,Information Technology (IT),Full time,2026-04-02,Not disclosed,https://jobs.krd/explore-jobs/Programmer-2958
Call Center Agent,Shahan Al-Alamiya,Sulaymaniyah,Customer Service/Support,Full time,2026-04-14,Not disclosed,https://jobs.krd/explore-jobs/Call-Center-Agent-2956
Partnership Manager,Visit Kurdistan,Erbil,Strategic Partnerships,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Partnership-Manager-2954
Operations Manager – Digital Platform,Visit Kurdistan,Erbil,Operations/Production,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Operations-Manager-–-Digital-Platform-2953
Operations Manager – Physical Assets,Visit Kurdistan,Erbil,Operations/Production,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Operations-Manager-–-Physical-Assets-2952
Operations Coordinator,Visit Kurdistan,Erbil,Operations/Production,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Operations-Coordinator-2951
Business Development Manager,Visit Kurdistan,Erbil,Business Development,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Business-Development-Manager-2950
Sales Representative,Patchi,Erbil,Sales,Full time,2026-04-27,Not disclosed,https://jobs.krd/explore-jobs/Sales-representative-2949
Graphic Designer &Video Editor,Deyari Group,Duhok,Marketing,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Graphic-Designer-and-Video-editor-2955
Sales Coordinator,Al Usool General Trading Co. Ltd. (AUGT),Erbil,Sales,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Sales-Coordinator.-2947
Brand Face,ZB Gifts,Duhok,Marketing,Part time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Brand-Face-2946
Travel Clerk,UFLY Travel,Duhok,Travel And Tourism,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Travel-Clerk-2945
Marketing Specialist,Origami,Erbil,Marketing,Part time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Specialist-2944
ERP Functional Consultant,Origami,Erbil,Unknown,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/ERP-Functional-Consultant-2943
